timestamp,boat_id,gps_lat,gps_long,particle_size_microns,concentration_ppm,depth_cm,collection_volume_ml,battery_status,power_source
2025-09-24 11:03:00,B5,19.08704,72.87049,7.4,3.34,100,604,54,solar
2025-09-24 11:06:00,B3,19.05863,72.79108,43.8,1.67,50,456,86,solar
2025-09-24 11:09:00,B3,19.00632,72.707,16.4,2.82,50,506,100,solar
2025-09-24 11:12:00,B2,19.10354,72.75009,32.5,2.39,30,698,52,solar
2025-09-24 11:15:00,B1,18.91948,72.75565,46.9,1.24,30,430,52,solar
2025-09-24 11:18:00,B5,19.13662,72.91565,44.1,3.48,70,450,67,solar
2025-09-24 11:21:00,B1,19.04872,72.70328,24.1,3.46,100,449,52,solar
2025-09-24 11:24:00,B1,19.02636,72.7845,24.1,0.05,10,661,76,solar
2025-09-24 11:27:00,B4,19.14983,72.84358,34.3,1.81,50,652,80,solar
2025-09-24 11:30:00,B1,18.93291,72.85419,13.4,1.69,50,468,58,solar
2025-09-24 11:33:00,B2,18.95053,72.83566,36.8,1.11,70,478,86,solar
2025-09-24 11:36:00,B2,19.02916,72.90762,27.6,2.23,50,599,51,solar
2025-09-24 11:39:00,B1,18.94543,72.74485,69.5,2.98,70,510,94,solar
2025-09-24 11:42:00,B1,19.07266,72.75539,40.8,3.02,50,445,52,solar
2025-09-24 11:45:00,B4,18.91123,72.76732,49.6,3.74,100,453,43,solar
2025-09-24 11:48:00,B4,18.98419,72.85394,37.8,0.28,10,485,51,solar
2025-09-24 11:51:00,B2,19.02272,72.73006,47.6,3.63,30,446,93,solar
2025-09-24 11:54:00,B2,19.01453,72.96359,31.6,1.82,30,476,40,solar
2025-09-24 11:57:00,B5,18.97457,72.94999,34.0,1.59,30,531,86,solar
2025-09-24 12:00:00,B4,18.90052,72.81565,41.2,4.16,10,560,48,solar
2025-09-24 12:03:00,B1,19.02143,72.7368,28.9,2.4,100,469,40,solar
2025-09-24 12:06:00,B5,19.17831,72.70375,27.7,0.87,10,682,75,solar
2025-09-24 12:09:00,B2,19.0962,72.9068,10.9,2.19,30,412,65,solar
2025-09-24 12:12:00,B3,19.05426,72.98771,39.7,0.57,10,496,68,solar
2025-09-24 12:15:00,B1,19.02659,72.98102,18.8,1.07,30,693,53,solar
2025-09-24 12:18:00,B1,19.1016,72.99469,1.0,3.55,70,464,87,solar
2025-09-24 12:21:00,B3,18.90237,72.75284,35.2,1.75,70,657,76,solar
2025-09-24 12:24:00,B5,19.19224,72.71561,31.5,3.57,50,597,53,solar
2025-09-24 12:27:00,B1,19.02685,72.94534,16.8,0.03,70,442,99,solar
2025-09-24 12:30:00,B2,19.13703,72.74991,33.7,2.95,50,658,62,solar
2025-09-24 12:33:00,B1,18.96113,72.7044,35.3,2.47,10,575,51,solar
2025-09-24 12:36:00,B1,19.13628,72.91671,12.1,0.88,20,491,69,solar
2025-09-24 12:39:00,B1,18.92129,72.9026,33.8,3.24,70,690,99,solar
2025-09-24 12:42:00,B3,19.17313,72.7025,27.5,1.76,30,610,47,solar
2025-09-24 12:45:00,B5,18.9057,72.84607,40.2,3.51,50,621,96,solar
2025-09-24 12:48:00,B4,19.11878,72.74792,44.1,2.14,70,517,66,solar
2025-09-24 12:51:00,B2,19.16803,72.96501,18.9,2.4,20,499,68,solar
2025-09-24 12:54:00,B3,18.96226,72.92966,27.7,1.64,100,466,99,solar
2025-09-24 12:57:00,B2,18.94533,72.99544,9.0,2.43,100,445,53,solar
2025-09-24 13:00:00,B4,19.02229,72.79739,57.6,5.97,70,448,75,solar
2025-09-24 13:03:00,B1,19.14265,72.84859,42.4,2.34,20,606,41,solar
2025-09-24 13:06:00,B2,18.91518,72.91965,53.1,3.91,10,493,53,solar
2025-09-24 13:09:00,B5,19.11136,72.81575,26.2,4.77,10,415,100,solar
2025-09-24 13:12:00,B2,19.03126,72.93113,24.7,2.37,30,581,51,solar
2025-09-24 13:15:00,B2,18.94936,72.97033,51.6,3.17,70,679,85,solar
2025-09-24 13:18:00,B3,18.90691,72.81215,34.5,2.35,10,697,87,solar
2025-09-24 13:21:00,B2,18.99418,72.81154,9.2,1.96,30,491,43,solar
2025-09-24 13:24:00,B4,19.118,72.80254,35.0,1.73,70,486,43,solar
2025-09-24 13:27:00,B4,19.06086,72.70807,15.6,2.19,30,665,68,solar
2025-09-24 13:30:00,B2,18.99386,72.76629,14.7,4.39,10,515,55,solar
2025-09-24 13:33:00,B5,19.14884,72.98941,37.1,4.04,30,509,81,solar
2025-09-24 13:36:00,B2,18.93793,72.73572,25.6,2.57,30,695,59,solar
2025-09-24 13:39:00,B2,19.15584,72.81977,29.6,3.14,20,582,57,solar
2025-09-24 13:42:00,B3,19.03915,72.83467,31.3,0.62,70,416,59,solar
2025-09-24 13:45:00,B5,19.08836,72.7637,37.4,0.53,100,518,57,solar
2025-09-24 13:48:00,B3,19.12509,72.9378,30.2,3.07,70,458,100,solar
2025-09-24 13:51:00,B3,19.11952,72.96339,20.0,3.63,100,462,60,solar
2025-09-24 13:54:00,B5,19.1151,72.94072,52.8,3.42,20,421,78,solar
2025-09-24 13:57:00,B4,19.13064,72.84319,10.5,3.52,100,420,86,solar
2025-09-24 14:00:00,B3,19.15399,72.76287,26.7,2.65,10,678,45,solar
2025-09-24 14:03:00,B1,19.11726,72.77897,19.2,2.43,50,453,67,solar
2025-09-24 14:06:00,B4,19.03344,72.9358,39.6,4.83,50,583,92,solar
2025-09-24 14:09:00,B3,19.19651,72.77304,42.7,3.11,30,601,97,solar
2025-09-24 14:12:00,B1,18.98467,72.74986,1.0,2.74,50,533,95,solar
2025-09-24 14:15:00,B4,19.03925,72.70101,34.5,3.67,70,409,49,solar
2025-09-24 14:18:00,B5,19.10485,72.71813,40.5,0.81,30,520,61,solar
2025-09-24 14:21:00,B1,19.05876,72.79881,40.9,2.86,50,403,78,solar
2025-09-24 14:24:00,B1,18.93966,72.95583,65.8,2.54,100,482,84,solar
2025-09-24 14:27:00,B3,19.02495,72.72507,27.3,2.45,50,684,47,solar
2025-09-24 14:30:00,B1,18.9432,72.89312,20.5,1.64,30,482,86,solar
2025-09-24 14:33:00,B1,19.01331,72.77526,20.0,1.9,50,666,45,solar
2025-09-24 14:36:00,B3,18.98736,72.74724,6.1,1.73,70,539,81,solar
2025-09-24 14:39:00,B1,19.17991,72.80608,13.4,4.26,30,634,48,solar
2025-09-24 14:42:00,B4,19.00322,72.7436,35.6,2.52,70,662,64,solar
2025-09-24 14:45:00,B2,19.04966,72.76073,34.5,1.78,50,434,76,solar
2025-09-24 14:48:00,B4,19.18824,72.99269,35.8,4.36,20,469,81,solar
2025-09-24 14:51:00,B2,18.99094,72.9621,26.9,2.59,50,652,98,solar
2025-09-24 14:54:00,B2,19.17918,72.72592,15.6,3.57,50,410,55,solar
2025-09-24 14:57:00,B2,19.12154,72.87749,30.7,1.64,30,435,83,solar
2025-09-24 15:00:00,B2,18.90097,72.89226,42.2,2.52,10,480,99,solar
2025-09-24 15:03:00,B2,18.9018,72.83285,16.1,2.01,10,512,71,solar
2025-09-24 15:06:00,B5,19.03108,72.9495,37.9,1.61,70,548,100,solar
2025-09-24 15:09:00,B4,18.96549,72.73695,35.7,2.49,30,658,63,solar
2025-09-24 15:12:00,B1,19.07732,72.84919,36.8,2.8,10,519,70,solar
2025-09-24 15:15:00,B2,18.98485,72.95431,14.4,1.44,20,411,68,solar
2025-09-24 15:18:00,B4,19.13366,72.76284,32.2,0.45,50,531,100,solar
2025-09-24 15:21:00,B1,19.00969,72.99788,33.3,2.45,70,654,65,solar
2025-09-24 15:24:00,B2,19.08146,72.75598,25.7,2.73,20,666,46,solar
2025-09-24 15:27:00,B3,18.94977,72.88972,13.8,3.12,10,617,52,solar
2025-09-24 15:30:00,B4,19.11392,72.88936,43.8,4.04,50,578,40,solar
2025-09-24 15:33:00,B3,19.11986,72.75415,23.7,3.9,50,615,74,solar
2025-09-24 15:36:00,B4,19.06136,72.72132,17.8,1.73,50,645,46,solar
2025-09-24 15:39:00,B2,19.11852,72.71693,48.9,2.43,100,666,69,solar
2025-09-24 15:42:00,B2,19.1903,72.76827,31.6,1.6,70,610,87,solar
2025-09-24 15:45:00,B1,19.07467,72.85753,14.2,3.87,50,462,85,solar
2025-09-24 15:48:00,B5,19.09746,72.84507,33.2,1.91,10,429,87,solar
2025-09-24 15:51:00,B1,18.94643,72.76374,4.3,3.04,100,635,97,solar
2025-09-24 15:54:00,B5,19.14481,72.88462,43.8,3.74,30,631,100,solar
2025-09-24 15:57:00,B1,18.98452,72.9581,37.9,2.42,20,486,82,solar
2025-09-24 16:00:00,B2,19.18861,72.93193,14.8,2.17,10,530,45,solar
2025-09-24 16:03:00,B3,19.08613,72.77191,39.7,1.17,10,653,93,solar
2025-09-24 16:06:00,B5,19.19446,72.97472,14.3,3.55,30,603,70,solar
2025-09-24 16:09:00,B4,19.01252,72.92958,48.4,2.9,70,414,96,solar
2025-09-24 16:12:00,B4,18.92482,72.95699,23.1,1.7,10,402,76,solar
2025-09-24 16:15:00,B2,18.9924,72.74145,45.6,0.92,100,456,43,solar
2025-09-24 16:18:00,B3,18.94782,72.80973,1.0,3.14,70,469,50,solar
2025-09-24 16:21:00,B5,19.06275,72.98636,30.0,2.4,70,659,91,solar
2025-09-24 16:24:00,B1,18.96156,72.752,28.8,3.91,50,584,44,solar
2025-09-24 16:27:00,B1,18.93265,72.73713,30.3,2.9,70,672,62,solar
2025-09-24 16:30:00,B4,18.95286,72.80904,19.0,2.23,100,549,85,solar
2025-09-24 16:33:00,B1,18.92484,72.8127,27.6,0.79,20,547,78,solar
2025-09-24 16:36:00,B1,18.97931,72.78904,62.1,1.21,50,444,76,solar
2025-09-24 16:39:00,B1,19.03999,72.92159,25.9,0.54,20,445,66,solar
2025-09-24 16:42:00,B3,18.93756,72.91864,35.9,2.19,30,696,88,solar
2025-09-24 16:45:00,B4,19.01184,72.72464,54.0,1.46,10,409,91,solar
2025-09-24 16:48:00,B4,19.01476,72.92186,17.7,2.59,20,663,82,solar
2025-09-24 16:51:00,B1,18.99369,72.85179,21.4,2.35,100,587,45,solar
2025-09-24 16:54:00,B2,19.08717,72.89421,21.0,2.15,50,465,66,solar
2025-09-24 16:57:00,B2,19.11999,72.74143,54.6,3.33,100,489,81,solar
2025-09-24 17:00:00,B3,18.90885,72.78259,1.0,1.86,20,461,62,solar
2025-09-24 17:03:00,B2,19.09353,72.95807,21.2,1.78,100,556,97,solar
2025-09-24 17:06:00,B5,19.00422,72.73805,1.0,1.93,20,699,74,solar
2025-09-24 17:09:00,B1,19.09886,72.7413,22.1,3.3,10,650,74,solar
2025-09-24 17:12:00,B5,18.92409,72.7384,23.0,1.89,50,644,69,solar
2025-09-24 17:15:00,B1,19.13445,72.85374,39.0,1.99,100,625,86,solar
2025-09-24 17:18:00,B1,18.98013,72.70883,31.7,2.68,100,503,64,solar
2025-09-24 17:21:00,B5,19.10613,72.86711,21.4,1.6,100,683,54,solar
2025-09-24 17:24:00,B2,18.90511,72.75038,45.1,2.61,50,414,80,solar
2025-09-24 17:27:00,B3,18.93186,72.7132,24.0,2.41,30,456,50,solar
2025-09-24 17:30:00,B1,19.02829,72.97041,3.8,2.44,100,401,70,solar
2025-09-24 17:33:00,B1,19.04325,72.84364,39.2,3.14,100,565,41,solar
2025-09-24 17:36:00,B3,19.0875,72.80657,13.5,2.88,50,680,65,solar
2025-09-24 17:39:00,B2,19.07782,72.88587,23.5,1.16,20,669,49,solar
2025-09-24 17:42:00,B3,18.98517,72.70628,41.6,2.8,10,682,48,solar
2025-09-24 17:45:00,B5,18.94568,72.81946,40.2,3.28,100,583,77,solar
2025-09-24 17:48:00,B4,19.12594,72.7713,23.4,3.88,50,631,91,solar
2025-09-24 17:51:00,B5,19.06853,72.85267,49.3,2.33,30,521,58,solar
2025-09-24 17:54:00,B4,19.15949,72.97379,2.9,2.09,30,480,90,solar
2025-09-24 17:57:00,B1,19.15566,72.90373,14.1,4.78,20,618,43,solar
2025-09-24 18:00:00,B2,19.01022,72.96382,28.3,1.7,70,609,51,solar
2025-09-24 18:03:00,B2,19.09388,72.88975,2.5,1.07,100,546,43,solar
2025-09-24 18:06:00,B3,19.19529,72.78185,31.8,1.99,20,536,53,solar
2025-09-24 18:09:00,B2,19.0735,72.83598,43.4,1.48,10,478,40,solar
2025-09-24 18:12:00,B2,19.13877,72.99438,15.7,3.92,10,693,66,solar
2025-09-24 18:15:00,B4,19.01221,72.98936,11.7,2.41,10,671,63,solar
2025-09-24 18:18:00,B4,19.13813,72.91594,39.4,3.53,70,692,99,solar
2025-09-24 18:21:00,B2,19.17938,72.71667,53.8,1.2,10,532,75,solar
2025-09-24 18:24:00,B2,18.90396,72.90138,41.1,4.18,10,616,95,solar
2025-09-24 18:27:00,B2,19.07035,72.71323,21.5,1.64,10,407,41,solar
2025-09-24 18:30:00,B4,19.11168,72.8363,6.8,2.03,10,503,100,solar
2025-09-24 18:33:00,B1,19.02523,72.99255,13.5,0.06,20,439,48,solar
2025-09-24 18:36:00,B1,19.0125,72.99031,27.6,2.46,50,665,98,solar
2025-09-24 18:39:00,B2,18.96347,72.81832,35.4,2.09,100,613,92,solar
2025-09-24 18:42:00,B5,18.95394,72.8417,9.9,3.92,100,517,81,solar
2025-09-24 18:45:00,B5,19.13908,72.96104,42.1,3.3,100,570,85,solar
2025-09-24 18:48:00,B5,19.16595,72.70087,32.9,1.74,30,672,59,solar
2025-09-24 18:51:00,B2,19.15587,72.7785,14.4,2.48,50,519,85,solar
2025-09-24 18:54:00,B4,18.92247,72.89669,51.0,2.82,20,631,71,solar
2025-09-24 18:57:00,B1,18.98699,72.91495,23.8,2.82,20,699,74,solar
2025-09-24 19:00:00,B5,19.16531,72.90186,41.2,1.5,20,537,67,hydro
2025-09-24 19:03:00,B2,19.09685,72.77458,19.4,2.96,100,442,82,hydro
2025-09-24 19:06:00,B1,19.17253,72.81443,20.0,1.84,50,410,55,hydro
2025-09-24 19:09:00,B5,18.91297,72.85289,28.9,0.8,10,446,68,hydro
2025-09-24 19:12:00,B4,19.16033,72.74051,21.3,2.81,10,687,56,hydro
2025-09-24 19:15:00,B3,19.08191,72.72455,39.3,1.28,50,411,42,hydro
2025-09-24 19:18:00,B2,19.07384,72.9341,63.9,2.56,30,454,41,hydro
2025-09-24 19:21:00,B5,19.15918,72.95725,28.0,1.24,30,432,85,hydro
2025-09-24 19:24:00,B2,19.1346,72.888,43.5,3.92,10,648,63,hydro
2025-09-24 19:27:00,B2,19.02052,72.79544,37.7,2.24,50,544,74,hydro
2025-09-24 19:30:00,B4,18.91562,72.78162,10.9,2.58,20,492,75,hydro
2025-09-24 19:33:00,B1,19.15461,72.7261,31.8,2.15,30,422,61,hydro
2025-09-24 19:36:00,B3,19.11332,72.82141,44.4,0.27,30,432,98,hydro
2025-09-24 19:39:00,B3,18.9436,72.79059,51.0,2.96,50,641,89,hydro
2025-09-24 19:42:00,B1,19.13177,72.80284,33.4,2.58,70,524,88,hydro
2025-09-24 19:45:00,B2,18.97323,72.88401,1.0,1.66,20,506,99,hydro
2025-09-24 19:48:00,B5,18.91617,72.87805,28.7,3.0,100,590,56,hydro
2025-09-24 19:51:00,B2,19.15582,72.73207,9.7,2.38,70,441,77,hydro
2025-09-24 19:54:00,B4,19.11808,72.85971,16.5,2.9,30,512,55,hydro
2025-09-24 19:57:00,B3,19.16217,72.82467,24.8,0.48,10,582,94,hydro
2025-09-24 20:00:00,B2,19.08134,72.80174,26.9,2.73,100,555,70,hydro
2025-09-24 20:03:00,B1,18.96791,72.78448,19.8,0.2,10,617,42,hydro
2025-09-24 20:06:00,B2,19.16629,72.95013,36.0,3.56,70,483,44,hydro
2025-09-24 20:09:00,B3,19.1265,72.96375,62.5,2.17,10,439,61,hydro
2025-09-24 20:12:00,B4,18.95585,72.77215,34.1,3.16,20,530,83,hydro
2025-09-24 20:15:00,B1,19.013,72.85492,13.9,3.53,20,689,51,hydro
2025-09-24 20:18:00,B3,18.91136,72.90173,32.5,1.5,100,528,98,hydro
2025-09-24 20:21:00,B2,19.19362,72.95012,34.0,2.44,10,615,86,hydro
2025-09-24 20:24:00,B4,19.10861,72.83915,24.2,2.77,10,440,48,hydro
2025-09-24 20:27:00,B3,18.90712,72.75514,34.4,4.43,50,589,82,hydro
2025-09-24 20:30:00,B4,19.0269,72.79012,22.3,2.12,70,553,70,hydro
2025-09-24 20:33:00,B5,19.08584,72.79688,43.9,2.38,100,454,89,hydro
2025-09-24 20:36:00,B2,19.14632,72.91541,22.0,3.81,10,469,85,hydro
2025-09-24 20:39:00,B2,18.91713,72.7393,3.0,3.2,20,578,55,hydro
2025-09-24 20:42:00,B2,18.99509,72.84011,44.5,1.69,70,490,57,hydro
2025-09-24 20:45:00,B3,19.09317,72.73314,40.8,2.15,30,665,58,hydro
2025-09-24 20:48:00,B3,19.0534,72.95348,25.6,2.13,20,412,59,hydro
2025-09-24 20:51:00,B3,19.02807,72.74953,23.5,2.48,50,660,43,hydro
2025-09-24 20:54:00,B1,19.05919,72.75985,17.5,2.13,50,418,96,hydro
2025-09-24 20:57:00,B3,18.95478,72.80272,39.8,2.22,30,562,95,hydro
2025-09-24 21:00:00,B4,18.95846,72.94773,11.6,2.32,10,445,49,hydro
2025-09-24 21:03:00,B2,19.09131,72.7829,42.9,1.19,20,505,84,hydro
2025-09-24 21:06:00,B5,19.1786,72.86288,58.2,2.7,100,444,49,hydro
2025-09-24 21:09:00,B3,19.1055,72.78172,23.0,3.48,100,451,71,hydro
2025-09-24 21:12:00,B1,18.91236,72.78919,26.8,3.06,100,408,89,hydro
2025-09-24 21:15:00,B2,18.97445,72.72086,45.0,2.25,50,657,59,hydro
2025-09-24 21:18:00,B3,19.08849,72.81898,64.9,2.23,30,626,64,hydro
2025-09-24 21:21:00,B5,18.94507,72.9279,16.4,3.51,100,618,47,hydro
2025-09-24 21:24:00,B2,19.07001,72.94702,27.9,2.32,70,441,98,hydro
2025-09-24 21:27:00,B4,19.08076,72.88844,27.9,2.92,50,419,44,hydro
2025-09-24 21:30:00,B4,19.02891,72.84945,12.2,4.18,10,424,59,hydro
2025-09-24 21:33:00,B2,19.09454,72.70664,38.3,1.02,10,623,98,hydro
2025-09-24 21:36:00,B5,19.16496,72.96762,25.9,3.3,50,647,85,hydro
2025-09-24 21:39:00,B3,19.13133,72.80761,41.2,1.75,70,685,68,hydro
2025-09-24 21:42:00,B3,19.19807,72.87378,36.6,2.25,50,670,59,hydro
2025-09-24 21:45:00,B2,18.98874,72.79897,23.6,0.4,10,477,79,hydro
2025-09-24 21:48:00,B5,19.01804,72.95887,57.9,1.79,10,435,77,hydro
2025-09-24 21:51:00,B2,18.95466,72.9519,17.7,2.82,100,687,46,hydro
2025-09-24 21:54:00,B2,19.10204,72.91999,15.9,2.6,70,456,84,hydro
2025-09-24 21:57:00,B4,18.93184,72.97141,15.9,2.32,10,477,81,hydro
2025-09-24 22:00:00,B2,19.12251,72.75018,35.3,3.06,70,516,64,hydro
2025-09-24 22:03:00,B5,19.01038,72.8908,7.3,1.46,20,663,57,hydro
2025-09-24 22:06:00,B4,18.94999,72.90437,70.4,2.94,70,676,50,hydro
2025-09-24 22:09:00,B5,19.00907,72.83026,63.2,3.04,10,472,88,hydro
2025-09-24 22:12:00,B1,18.90845,72.70932,2.3,1.6,10,695,45,hydro
2025-09-24 22:15:00,B2,19.03585,72.90836,17.1,1.09,10,559,72,hydro
2025-09-24 22:18:00,B4,18.94444,72.86129,60.2,1.84,10,681,44,hydro
2025-09-24 22:21:00,B3,19.19168,72.72041,32.8,2.41,50,527,81,hydro
2025-09-24 22:24:00,B4,19.11307,72.85031,8.3,1.29,30,603,94,hydro
2025-09-24 22:27:00,B4,18.90769,72.91665,40.6,2.68,20,417,86,hydro
2025-09-24 22:30:00,B5,19.1816,72.72647,50.4,3.24,20,650,74,hydro
2025-09-24 22:33:00,B5,19.17505,72.82484,29.8,3.09,50,690,55,hydro
2025-09-24 22:36:00,B3,19.03771,72.897,63.0,2.84,10,640,69,hydro
2025-09-24 22:39:00,B2,18.98931,72.9449,26.5,2.01,100,424,76,hydro
2025-09-24 22:42:00,B2,19.10809,72.84824,6.5,1.27,20,525,74,hydro
2025-09-24 22:45:00,B2,19.15678,72.92914,2.7,3.12,20,516,55,hydro
2025-09-24 22:48:00,B3,18.91442,72.96682,38.9,2.76,100,673,94,hydro
2025-09-24 22:51:00,B5,19.08807,72.83257,47.1,2.35,20,554,55,hydro
2025-09-24 22:54:00,B4,18.99702,72.85727,33.7,1.38,70,523,60,hydro
2025-09-24 22:57:00,B4,18.95197,72.71602,5.4,0.17,70,443,79,hydro
2025-09-24 23:00:00,B1,19.12068,72.97516,6.1,2.57,70,471,40,hydro
2025-09-24 23:03:00,B3,19.15686,72.73563,20.7,2.54,70,426,53,hydro
2025-09-24 23:06:00,B1,19.13872,72.86883,33.9,2.31,20,452,64,hydro
2025-09-24 23:09:00,B2,19.00613,72.74588,27.8,2.23,20,672,46,hydro
2025-09-24 23:12:00,B1,19.17214,72.81603,33.4,2.61,10,429,63,hydro
2025-09-24 23:15:00,B1,18.96502,72.88843,33.4,5.1,30,507,59,hydro
2025-09-24 23:18:00,B1,19.09893,72.71425,26.3,3.53,50,421,82,hydro
2025-09-24 23:21:00,B5,19.08005,72.89254,31.4,3.3,10,460,80,hydro
2025-09-24 23:24:00,B1,19.15618,72.86964,33.2,2.09,100,696,88,hydro
2025-09-24 23:27:00,B1,19.1235,72.805,22.3,0.99,30,444,91,hydro
2025-09-24 23:30:00,B5,19.15515,72.98625,28.3,0.94,50,406,50,hydro
2025-09-24 23:33:00,B3,19.07936,72.75489,1.0,1.54,50,481,95,hydro
2025-09-24 23:36:00,B5,19.00828,72.92286,33.3,1.57,30,669,50,hydro
2025-09-24 23:39:00,B5,18.99492,72.92726,44.2,2.5,70,492,46,hydro
2025-09-24 23:42:00,B4,19.19627,72.81566,17.3,4.6,70,553,98,hydro
2025-09-24 23:45:00,B3,18.96794,72.78382,20.8,2.83,20,501,43,hydro
2025-09-24 23:48:00,B4,18.97662,72.83728,39.9,2.81,100,648,88,hydro
2025-09-24 23:51:00,B2,19.17553,72.80733,35.6,3.71,50,536,48,hydro
2025-09-24 23:54:00,B5,19.10586,72.75471,40.2,2.75,30,599,65,hydro
2025-09-24 23:57:00,B1,19.14692,72.81671,36.1,3.02,70,551,94,hydro
